"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 01:11:13.039,5.484,-75.989,26116.079808
1 Jan 2020 01:11:43.000,7.169,-76.100,25981.608636
1 Jan 2020 01:12:13.000,8.901,-76.216,25851.130003
1 Jan 2020 01:12:43.000,10.681,-76.334,25725.035860
1 Jan 2020 01:13:13.000,12.510,-76.456,25603.539826
1 Jan 2020 01:13:43.000,14.392,-76.579,25486.851950
1 Jan 2020 01:14:13.000,16.326,-76.703,25375.178075
1 Jan 2020 01:14:43.000,18.315,-76.827,25268.719045
1 Jan 2020 01:15:13.000,20.360,-76.951,25167.670613
1 Jan 2020 01:15:43.000,22.461,-77.073,25072.221885
1 Jan 2020 01:16:13.000,24.619,-77.193,24982.555235
1 Jan 2020 01:16:43.000,26.834,-77.308,24898.845468
1 Jan 2020 01:17:13.000,29.105,-77.420,24821.259144
1 Jan 2020 01:17:43.000,31.430,-77.526,24749.953813
1 Jan 2020 01:18:13.000,33.809,-77.625,24685.077759
1 Jan 2020 01:18:43.000,36.238,-77.716,24626.768760
1 Jan 2020 01:19:13.000,38.715,-77.799,24575.153903
1 Jan 2020 01:19:43.000,41.234,-77.873,24530.348914
1 Jan 2020 01:20:13.000,43.792,-77.936,24492.457590
1 Jan 2020 01:20:43.000,46.382,-77.989,24461.571471
1 Jan 2020 01:21:13.000,49.000,-78.030,24437.769168
1 Jan 2020 01:21:43.000,51.637,-78.059,24421.116161
1 Jan 2020 01:22:13.000,54.288,-78.076,24411.664438
1 Jan 2020 01:22:43.000,56.944,-78.080,24409.452273
1 Jan 2020 01:23:13.000,59.599,-78.071,24414.503944
1 Jan 2020 01:23:43.000,62.244,-78.050,24426.829749
1 Jan 2020 01:24:13.000,64.873,-78.016,24446.425887
1 Jan 2020 01:24:43.000,67.477,-77.970,24473.274499
1 Jan 2020 01:25:13.000,70.052,-77.913,24507.343860
1 Jan 2020 01:25:43.000,72.589,-77.844,24548.588186
1 Jan 2020 01:26:13.000,75.084,-77.766,24596.948383
1 Jan 2020 01:26:43.000,77.532,-77.678,24652.352010
1 Jan 2020 01:27:13.000,79.929,-77.581,24714.713719
1 Jan 2020 01:27:43.000,82.270,-77.477,24783.935807
1 Jan 2020 01:28:13.000,84.555,-77.366,24859.908116
1 Jan 2020 01:28:43.000,86.779,-77.250,24942.509372
1 Jan 2020 01:29:13.000,88.943,-77.130,25031.607194
1 Jan 2020 01:29:43.000,91.046,-77.005,25127.058804
1 Jan 2020 01:30:13.000,93.086,-76.879,25228.711825
1 Jan 2020 01:30:43.000,95.065,-76.751,25336.404198
1 Jan 2020 01:31:13.000,96.983,-76.623,25449.965890
1 Jan 2020 01:31:43.000,98.842,-76.495,25569.218855
1 Jan 2020 01:32:13.000,100.641,-76.369,25693.977878
1 Jan 2020 01:32:43.000,102.384,-76.245,25824.051236
1 Jan 2020 01:33:13.000,104.071,-76.124,25959.241589
1 Jan 2020 01:33:43.000,105.705,-76.007,26099.345719
1 Jan 2020 01:33:46.556,105.896,-75.994,26116.266525
1 Jan 2020 02:46:41.141,317.487,-75.985,26109.305644
1 Jan 2020 02:47:11.000,318.003,-76.162,25898.467922
1 Jan 2020 02:47:41.000,318.535,-76.358,25689.462210
1 Jan 2020 02:48:11.000,319.084,-76.570,25483.572589
1 Jan 2020 02:48:41.000,319.652,-76.799,25281.082893
1 Jan 2020 02:49:11.000,320.242,-77.046,25082.279994
1 Jan 2020 02:49:41.000,320.857,-77.309,24887.453305
1 Jan 2020 02:50:11.000,321.501,-77.590,24696.894231
1 Jan 2020 02:50:41.000,322.178,-77.888,24510.895557
1 Jan 2020 02:51:11.000,322.892,-78.202,24329.750457
1 Jan 2020 02:51:41.000,323.650,-78.533,24153.753027
1 Jan 2020 02:52:11.000,324.457,-78.881,23983.195565
1 Jan 2020 02:52:41.000,325.322,-79.244,23818.368996
1 Jan 2020 02:53:11.000,326.254,-79.622,23659.561619
1 Jan 2020 02:53:41.000,327.264,-80.015,23507.057894
1 Jan 2020 02:54:11.000,328.364,-80.422,23361.138328
1 Jan 2020 02:54:41.000,329.571,-80.842,23222.076979
1 Jan 2020 02:55:11.000,330.903,-81.273,23090.141269
1 Jan 2020 02:55:41.000,332.386,-81.715,22965.590574
1 Jan 2020 02:56:11.000,334.049,-82.166,22848.674821
1 Jan 2020 02:56:41.000,335.928,-82.624,22739.634120
1 Jan 2020 02:57:11.000,338.072,-83.087,22638.696255
1 Jan 2020 02:57:41.000,340.538,-83.551,22546.076353
1 Jan 2020 02:58:11.000,343.404,-84.013,22461.975342
1 Jan 2020 02:58:41.000,346.764,-84.469,22386.579339
1 Jan 2020 02:59:11.000,350.740,-84.912,22320.057726
1 Jan 2020 02:59:41.000,355.478,-85.335,22262.562683
1 Jan 2020 03:00:11.000,1.148,-85.728,22214.228022
1 Jan 2020 03:00:41.000,7.920,-86.078,22175.168638
1 Jan 2020 03:01:11.000,15.917,-86.368,22145.479276
1 Jan 2020 03:01:41.000,25.123,-86.582,22125.234249
1 Jan 2020 03:02:11.000,35.282,-86.701,22114.486847
1 Jan 2020 03:02:41.000,45.865,-86.715,22113.269010
1 Jan 2020 03:03:11.000,56.194,-86.622,22121.591046
1 Jan 2020 03:03:41.000,65.680,-86.432,22139.441632
1 Jan 2020 03:04:11.000,73.992,-86.159,22166.787945
1 Jan 2020 03:04:41.000,81.060,-85.822,22203.575630
1 Jan 2020 03:05:11.000,86.978,-85.438,22249.729549
1 Jan 2020 03:05:41.000,91.912,-85.020,22305.154059
1 Jan 2020 03:06:11.000,96.033,-84.580,22369.733847
1 Jan 2020 03:06:41.000,99.496,-84.124,22443.334152
1 Jan 2020 03:07:11.000,102.428,-83.661,22525.802408
1 Jan 2020 03:07:41.000,104.930,-83.195,22616.968700
1 Jan 2020 03:08:11.000,107.085,-82.729,22716.647111
1 Jan 2020 03:08:41.000,108.954,-82.267,22824.636077
1 Jan 2020 03:09:11.000,110.589,-81.811,22940.720630
1 Jan 2020 03:09:41.000,112.028,-81.364,23064.672868
1 Jan 2020 03:10:11.000,113.302,-80.926,23196.253549
1 Jan 2020 03:10:41.000,114.438,-80.501,23335.212437
1 Jan 2020 03:11:11.000,115.456,-80.088,23481.290781
1 Jan 2020 03:11:41.000,116.371,-79.688,23634.221665
1 Jan 2020 03:12:11.000,117.199,-79.304,23793.731364
1 Jan 2020 03:12:41.000,117.950,-78.934,23959.540753
1 Jan 2020 03:13:11.000,118.634,-78.581,24131.365254
1 Jan 2020 03:13:41.000,119.258,-78.243,24308.917534
1 Jan 2020 03:14:11.000,119.829,-77.923,24491.907373
1 Jan 2020 03:14:41.000,120.354,-77.620,24680.042842
1 Jan 2020 03:15:11.000,120.837,-77.333,24873.031155
1 Jan 2020 03:15:41.000,121.281,-77.065,25070.579455
1 Jan 2020 03:16:11.000,121.692,-76.813,25272.395883
1 Jan 2020 03:16:41.000,122.071,-76.580,25478.188861
1 Jan 2020 03:17:11.000,122.421,-76.363,25687.669748
1 Jan 2020 03:17:41.000,122.746,-76.165,25900.552013
1 Jan 2020 03:18:09.949,123.036,-75.989,26108.938055
1 Jan 2020 04:29:31.394,293.978,-75.982,26103.652968
1 Jan 2020 04:30:01.000,293.012,-76.143,25912.446025
1 Jan 2020 04:30:31.000,291.985,-76.318,25722.511517
1 Jan 2020 04:31:01.000,290.904,-76.505,25536.682741
