"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 04:12:57.680,334.402,-75.985,26104.363351
1 Jan 2020 04:13:27.000,336.051,-76.080,25988.629513
1 Jan 2020 04:13:57.000,337.773,-76.180,25873.510378
1 Jan 2020 04:14:27.000,339.534,-76.283,25761.906735
1 Jan 2020 04:14:57.000,341.335,-76.388,25653.998598
1 Jan 2020 04:15:27.000,343.176,-76.494,25549.963904
1 Jan 2020 04:15:57.000,345.060,-76.601,25449.978054
1 Jan 2020 04:16:27.000,346.986,-76.708,25354.213443
1 Jan 2020 04:16:57.000,348.957,-76.815,25262.838873
1 Jan 2020 04:17:27.000,350.972,-76.920,25176.019494
1 Jan 2020 04:17:57.000,353.032,-77.024,25093.915637
1 Jan 2020 04:18:27.000,355.138,-77.125,25016.682761
1 Jan 2020 04:18:57.000,357.288,-77.223,24944.470828
1 Jan 2020 04:19:27.000,359.482,-77.316,24877.423802
1 Jan 2020 04:19:57.000,1.718,-77.405,24815.679080
1 Jan 2020 04:20:27.000,3.996,-77.487,24759.367255
1 Jan 2020 04:20:57.000,6.312,-77.564,24708.611245
1 Jan 2020 04:21:27.000,8.665,-77.633,24663.526098
1 Jan 2020 04:21:57.000,11.051,-77.695,24624.218474
1 Jan 2020 04:22:27.000,13.466,-77.748,24590.786230
1 Jan 2020 04:22:57.000,15.907,-77.792,24563.318022
1 Jan 2020 04:23:27.000,18.368,-77.827,24541.892969
1 Jan 2020 04:23:57.000,20.846,-77.852,24526.580272
1 Jan 2020 04:24:27.000,23.334,-77.867,24517.438974
1 Jan 2020 04:24:57.000,25.827,-77.872,24514.517694
1 Jan 2020 04:25:27.000,28.319,-77.867,24517.854475
1 Jan 2020 04:25:57.000,30.806,-77.851,24527.476444
1 Jan 2020 04:26:27.000,33.280,-77.824,24543.399949
1 Jan 2020 04:26:57.000,35.737,-77.788,24565.630339
1 Jan 2020 04:27:27.000,38.172,-77.742,24594.161982
1 Jan 2020 04:27:57.000,40.578,-77.686,24628.978396
1 Jan 2020 04:28:27.000,42.953,-77.622,24670.051946
1 Jan 2020 04:28:57.000,45.291,-77.549,24717.344529
1 Jan 2020 04:29:27.000,47.588,-77.469,24770.807378
1 Jan 2020 04:29:57.000,49.842,-77.382,24830.381369
1 Jan 2020 04:30:27.000,52.050,-77.288,24895.997278
1 Jan 2020 04:30:57.000,54.209,-77.189,24967.576242
1 Jan 2020 04:31:27.000,56.318,-77.086,25045.029404
1 Jan 2020 04:31:57.000,58.376,-76.978,25128.259289
1 Jan 2020 04:32:27.000,60.381,-76.868,25217.159525
1 Jan 2020 04:32:57.000,62.334,-76.755,25311.615417
1 Jan 2020 04:33:27.000,64.233,-76.641,25411.504383
1 Jan 2020 04:33:57.000,66.080,-76.527,25516.696614
1 Jan 2020 04:34:27.000,67.875,-76.413,25627.054702
