"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:28:11.990,315.545,-75.986,26105.534057
1 Jan 2020 00:28:41.000,313.617,-76.046,26031.962286
1 Jan 2020 00:29:11.000,311.593,-76.106,25961.097670
1 Jan 2020 00:29:41.000,309.538,-76.163,25895.670009
1 Jan 2020 00:30:11.000,307.455,-76.217,25835.803554
1 Jan 2020 00:30:41.000,305.344,-76.267,25781.613960
1 Jan 2020 00:31:11.000,303.208,-76.313,25733.207785
1 Jan 2020 00:31:41.000,301.050,-76.354,25690.682306
1 Jan 2020 00:32:11.000,298.870,-76.390,25654.124777
1 Jan 2020 00:32:41.000,296.674,-76.420,25623.612327
1 Jan 2020 00:33:11.000,294.462,-76.445,25599.211575
1 Jan 2020 00:33:41.000,292.239,-76.464,25580.978352
1 Jan 2020 00:34:11.000,290.008,-76.476,25568.957513
1 Jan 2020 00:34:41.000,287.772,-76.482,25563.182662
1 Jan 2020 00:35:11.000,285.534,-76.481,25563.676081
1 Jan 2020 00:35:41.000,283.299,-76.474,25570.448617
1 Jan 2020 00:36:11.000,281.070,-76.460,25583.499672
1 Jan 2020 00:36:41.000,278.850,-76.441,25602.817077
1 Jan 2020 00:37:11.000,276.643,-76.415,25628.377334
1 Jan 2020 00:37:41.000,274.452,-76.383,25660.145603
1 Jan 2020 00:38:11.000,272.280,-76.345,25698.075880
1 Jan 2020 00:38:41.000,270.130,-76.302,25742.111279
1 Jan 2020 00:39:11.000,268.004,-76.255,25792.183953
1 Jan 2020 00:39:41.000,265.905,-76.203,25848.215841
1 Jan 2020 00:40:11.000,263.835,-76.148,25910.118686
1 Jan 2020 00:40:41.000,261.796,-76.089,25977.794467
1 Jan 2020 00:41:11.000,259.788,-76.028,26051.135790
1 Jan 2020 00:41:31.811,258.416,-75.984,26105.279830
1 Jan 2020 01:57:29.977,23.192,-75.993,26112.017141
1 Jan 2020 01:57:59.000,22.049,-76.140,25935.393136
1 Jan 2020 01:58:29.000,20.828,-76.304,25755.985200
1 Jan 2020 01:58:59.000,19.563,-76.479,25580.050962
1 Jan 2020 01:59:29.000,18.251,-76.665,25407.852461
1 Jan 2020 01:59:59.000,16.886,-76.861,25239.652594
1 Jan 2020 02:00:29.000,15.463,-77.066,25075.714551
1 Jan 2020 02:00:59.000,13.978,-77.281,24916.301190
1 Jan 2020 02:01:29.000,12.424,-77.505,24761.674142
1 Jan 2020 02:01:59.000,10.796,-77.736,24612.094016
1 Jan 2020 02:02:29.000,9.087,-77.973,24467.818248
1 Jan 2020 02:02:59.000,7.290,-78.217,24329.101241
1 Jan 2020 02:03:29.000,5.398,-78.465,24196.193279
1 Jan 2020 02:03:59.000,3.402,-78.716,24069.339660
1 Jan 2020 02:04:29.000,1.295,-78.969,23948.779590
1 Jan 2020 02:04:59.000,359.070,-79.221,23834.746042
1 Jan 2020 02:05:29.000,356.717,-79.472,23727.463602
1 Jan 2020 02:05:59.000,354.230,-79.719,23627.148322
1 Jan 2020 02:06:29.000,351.601,-79.959,23534.006548
1 Jan 2020 02:06:59.000,348.824,-80.192,23448.233834
1 Jan 2020 02:07:29.000,345.896,-80.413,23370.014526
1 Jan 2020 02:07:59.000,342.813,-80.621,23299.520031
1 Jan 2020 02:08:29.000,339.578,-80.813,23236.908495
1 Jan 2020 02:08:59.000,336.194,-80.986,23182.323757
1 Jan 2020 02:09:29.000,332.670,-81.138,23135.894838
1 Jan 2020 02:09:59.000,329.019,-81.266,23097.734812
1 Jan 2020 02:10:29.000,325.259,-81.368,23067.940461
1 Jan 2020 02:10:59.000,321.412,-81.442,23046.591637
1 Jan 2020 02:11:29.000,317.505,-81.487,23033.750853
1 Jan 2020 02:11:59.000,313.567,-81.502,23029.462828
1 Jan 2020 02:12:29.000,309.630,-81.487,23033.754308
1 Jan 2020 02:12:59.000,305.725,-81.441,23046.633943
1 Jan 2020 02:13:29.000,301.881,-81.366,23068.092061
1 Jan 2020 02:13:59.000,298.126,-81.263,23098.101000
1 Jan 2020 02:14:29.000,294.483,-81.134,23136.615128
1 Jan 2020 02:14:59.000,290.971,-80.980,23183.571270
1 Jan 2020 02:15:29.000,287.602,-80.805,23238.888683
