"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:21:00.656,259.611,-75.993,26116.563085
1 Jan 2020 00:21:30.000,258.225,-76.115,25969.843417
1 Jan 2020 00:22:00.000,256.756,-76.244,25824.074632
1 Jan 2020 00:22:30.000,255.234,-76.379,25682.768820
1 Jan 2020 00:23:00.000,253.656,-76.519,25546.110785
1 Jan 2020 00:23:30.000,252.020,-76.662,25414.281257
1 Jan 2020 00:24:00.000,250.324,-76.808,25287.456365
1 Jan 2020 00:24:30.000,248.565,-76.956,25165.806854
1 Jan 2020 00:25:00.000,246.742,-77.106,25049.498465
1 Jan 2020 00:25:30.000,244.853,-77.255,24938.689968
1 Jan 2020 00:26:00.000,242.896,-77.404,24833.533551
1 Jan 2020 00:26:30.000,240.870,-77.551,24734.174027
1 Jan 2020 00:27:00.000,238.774,-77.696,24640.748288
1 Jan 2020 00:27:30.000,236.609,-77.836,24553.384575
1 Jan 2020 00:28:00.000,234.374,-77.972,24472.202755
1 Jan 2020 00:28:30.000,232.071,-78.101,24397.312624
1 Jan 2020 00:29:00.000,229.701,-78.224,24328.814250
1 Jan 2020 00:29:30.000,227.267,-78.338,24266.797332
1 Jan 2020 00:30:00.000,224.772,-78.442,24211.340679
1 Jan 2020 00:30:30.000,222.220,-78.536,24162.512356
1 Jan 2020 00:31:00.000,219.616,-78.620,24120.368589
1 Jan 2020 00:31:30.000,216.967,-78.691,24084.954034
1 Jan 2020 00:32:00.000,214.278,-78.749,24056.301420
1 Jan 2020 00:32:30.000,211.558,-78.794,24034.431320
1 Jan 2020 00:33:00.000,208.814,-78.825,24019.352337
1 Jan 2020 00:33:30.000,206.055,-78.842,24011.060600
1 Jan 2020 00:34:00.000,203.290,-78.845,24009.540087
1 Jan 2020 00:34:30.000,200.526,-78.834,24014.762612
1 Jan 2020 00:35:00.000,197.773,-78.809,24026.687941
1 Jan 2020 00:35:30.000,195.040,-78.771,24045.264023
1 Jan 2020 00:36:00.000,192.333,-78.719,24070.427132
1 Jan 2020 00:36:30.000,189.660,-78.655,24102.102228
1 Jan 2020 00:37:00.000,187.027,-78.579,24140.203274
1 Jan 2020 00:37:30.000,184.441,-78.492,24184.633660
1 Jan 2020 00:38:00.000,181.905,-78.395,24235.286456
1 Jan 2020 00:38:30.000,179.423,-78.289,24292.045111
1 Jan 2020 00:39:00.000,176.999,-78.174,24354.783799
1 Jan 2020 00:39:30.000,174.635,-78.053,24423.367967
1 Jan 2020 00:40:00.000,172.332,-77.926,24497.654881
1 Jan 2020 00:40:30.000,170.091,-77.794,24577.494300
1 Jan 2020 00:41:00.000,167.911,-77.658,24662.728599
1 Jan 2020 00:41:30.000,165.793,-77.520,24753.194009
1 Jan 2020 00:42:00.000,163.735,-77.379,24848.720773
1 Jan 2020 00:42:30.000,161.736,-77.237,24949.133836
1 Jan 2020 00:43:00.000,159.795,-77.096,25054.253424
1 Jan 2020 00:43:30.000,157.909,-76.955,25163.895615
1 Jan 2020 00:44:00.000,156.076,-76.816,25277.873071
1 Jan 2020 00:44:30.000,154.295,-76.678,25395.994916
1 Jan 2020 00:45:00.000,152.562,-76.544,25518.068253
