"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:00:00.000,108.761,-78.701,24089.346468
1 Jan 2020 00:00:30.000,111.511,-78.798,24042.206630
1 Jan 2020 00:01:00.000,114.319,-78.880,24002.657149
1 Jan 2020 00:01:30.000,117.176,-78.948,23970.756079
1 Jan 2020 00:02:00.000,120.072,-79.001,23946.546528
1 Jan 2020 00:02:30.000,122.998,-79.036,23930.056364
1 Jan 2020 00:03:00.000,125.943,-79.056,23921.298270
1 Jan 2020 00:03:30.000,128.895,-79.058,23920.269330
1 Jan 2020 00:04:00.000,131.844,-79.043,23926.951273
1 Jan 2020 00:04:30.000,134.778,-79.012,23941.310499
1 Jan 2020 00:05:00.000,137.686,-78.964,23963.298244
1 Jan 2020 00:05:30.000,140.558,-78.901,23992.850823
1 Jan 2020 00:06:00.000,143.385,-78.823,24029.889972
1 Jan 2020 00:06:30.000,146.159,-78.731,24074.323236
1 Jan 2020 00:07:00.000,148.874,-78.627,24126.044515
1 Jan 2020 00:07:30.000,151.523,-78.511,24184.934298
1 Jan 2020 00:08:00.000,154.103,-78.385,24250.860662
1 Jan 2020 00:08:30.000,156.610,-78.250,24323.679640
1 Jan 2020 00:09:00.000,159.042,-78.107,24403.235960
1 Jan 2020 00:09:30.000,161.398,-77.959,24489.363875
1 Jan 2020 00:10:00.000,163.678,-77.805,24581.887405
1 Jan 2020 00:10:30.000,165.883,-77.648,24680.621818
1 Jan 2020 00:11:00.000,168.014,-77.489,24785.373922
1 Jan 2020 00:11:30.000,170.072,-77.328,24895.942958
1 Jan 2020 00:12:00.000,172.061,-77.168,25012.121367
1 Jan 2020 00:12:30.000,173.982,-77.009,25133.695747
1 Jan 2020 00:13:00.000,175.838,-76.852,25260.446864
1 Jan 2020 00:13:30.000,177.633,-76.698,25392.151486
1 Jan 2020 00:14:00.000,179.370,-76.548,25528.582380
1 Jan 2020 00:14:30.000,181.050,-76.402,25669.509177
1 Jan 2020 00:15:00.000,182.679,-76.262,25814.699039
1 Jan 2020 00:15:30.000,184.258,-76.128,25963.917287
1 Jan 2020 00:16:00.000,185.791,-76.001,26116.928005
1 Jan 2020 00:16:30.000,187.280,-75.880,26273.494843
1 Jan 2020 00:17:00.000,188.729,-75.767,26433.380605
1 Jan 2020 00:17:30.000,190.141,-75.662,26596.349151
1 Jan 2020 00:18:00.000,191.517,-75.565,26762.164928
1 Jan 2020 00:18:30.000,192.861,-75.476,26930.593631
1 Jan 2020 00:19:00.000,194.176,-75.396,27101.402587
1 Jan 2020 00:19:30.000,195.462,-75.325,27274.361123
1 Jan 2020 00:20:00.000,196.724,-75.263,27449.240887
