"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:36:10.330,217.731,-75.073,28610.612049
1 Jan 2020 00:36:40.000,217.879,-75.077,28419.857671
1 Jan 2020 00:37:10.000,218.023,-75.092,28227.024597
1 Jan 2020 00:37:40.000,218.163,-75.117,28034.366124
1 Jan 2020 00:38:10.000,218.299,-75.152,27842.015214
1 Jan 2020 00:38:40.000,218.429,-75.198,27650.107495
1 Jan 2020 00:39:10.000,218.556,-75.254,27458.781250
1 Jan 2020 00:39:40.000,218.678,-75.322,27268.177392
1 Jan 2020 00:40:10.000,218.796,-75.401,27078.439436
1 Jan 2020 00:40:40.000,218.909,-75.491,26889.713453
1 Jan 2020 00:41:10.000,219.018,-75.593,26702.148025
1 Jan 2020 00:41:40.000,219.124,-75.706,26515.894185
1 Jan 2020 00:42:10.000,219.225,-75.831,26331.105339
1 Jan 2020 00:42:40.000,219.322,-75.968,26147.937188
1 Jan 2020 00:43:10.000,219.415,-76.118,25966.547625
1 Jan 2020 00:43:40.000,219.504,-76.280,25787.096624
1 Jan 2020 00:44:10.000,219.589,-76.454,25609.746109
1 Jan 2020 00:44:40.000,219.670,-76.641,25434.659812
1 Jan 2020 00:45:10.000,219.747,-76.840,25262.003111
1 Jan 2020 00:45:40.000,219.820,-77.052,25091.942533
1 Jan 2020 00:46:10.000,219.890,-77.277,24924.646817
1 Jan 2020 00:46:40.000,219.955,-77.515,24760.284796
1 Jan 2020 00:47:10.000,220.016,-77.765,24599.026424
1 Jan 2020 00:47:40.000,220.073,-78.029,24441.042203
1 Jan 2020 00:48:10.000,220.125,-78.305,24286.502896
1 Jan 2020 00:48:40.000,220.174,-78.594,24135.579220
1 Jan 2020 00:49:10.000,220.217,-78.896,23988.441526
1 Jan 2020 00:49:40.000,220.257,-79.210,23845.259180
1 Jan 2020 00:50:10.000,220.291,-79.537,23706.201271
1 Jan 2020 00:50:40.000,220.320,-79.876,23571.434594
1 Jan 2020 00:51:10.000,220.345,-80.227,23441.124333
1 Jan 2020 00:51:40.000,220.363,-80.590,23315.433356
1 Jan 2020 00:52:10.000,220.375,-80.965,23194.521773
1 Jan 2020 00:52:40.000,220.381,-81.351,23078.546469
1 Jan 2020 00:53:10.000,220.380,-81.748,22967.660401
1 Jan 2020 00:53:40.000,220.370,-82.156,22862.013059
1 Jan 2020 00:54:10.000,220.352,-82.575,22761.748533
1 Jan 2020 00:54:40.000,220.323,-83.003,22667.005991
1 Jan 2020 00:55:10.000,220.283,-83.440,22577.918930
1 Jan 2020 00:55:40.000,220.228,-83.887,22494.614682
1 Jan 2020 00:56:10.000,220.156,-84.342,22417.213762
1 Jan 2020 00:56:40.000,220.062,-84.805,22345.830053
1 Jan 2020 00:57:10.000,219.942,-85.275,22280.569324
1 Jan 2020 00:57:40.000,219.786,-85.752,22221.529481
1 Jan 2020 00:58:10.000,219.580,-86.235,22168.799960
1 Jan 2020 00:58:40.000,219.304,-86.724,22122.461257
1 Jan 2020 00:59:10.000,218.921,-87.217,22082.584913
1 Jan 2020 00:59:40.000,218.362,-87.714,22049.232639
1 Jan 2020 01:00:10.000,217.479,-88.214,22022.456413
1 Jan 2020 01:00:40.000,215.895,-88.716,22002.298127
1 Jan 2020 01:01:10.000,212.262,-89.217,21988.789376
1 Jan 2020 01:01:40.000,196.183,-89.706,21981.951399
1 Jan 2020 01:02:10.000,69.110,-89.728,21981.794809
1 Jan 2020 01:02:40.000,51.062,-89.242,21988.319671
1 Jan 2020 01:03:10.000,47.225,-88.741,22001.515459
1 Jan 2020 01:03:40.000,45.571,-88.239,22021.361162
1 Jan 2020 01:04:10.000,44.645,-87.739,22047.825204
1 Jan 2020 01:04:40.000,44.049,-87.242,22080.865841
1 Jan 2020 01:05:10.000,43.628,-86.748,22120.431211
1 Jan 2020 01:05:40.000,43.313,-86.260,22166.459611
1 Jan 2020 01:06:10.000,43.064,-85.777,22218.879893
1 Jan 2020 01:06:40.000,42.860,-85.299,22277.611364
1 Jan 2020 01:07:10.000,42.687,-84.829,22342.564770
1 Jan 2020 01:07:40.000,42.536,-84.366,22413.642284
1 Jan 2020 01:08:10.000,42.402,-83.910,22490.738031
1 Jan 2020 01:08:40.000,42.280,-83.463,22573.738527
1 Jan 2020 01:09:10.000,42.167,-83.025,22662.523344
1 Jan 2020 01:09:40.000,42.061,-82.597,22756.964807
1 Jan 2020 01:10:10.000,41.959,-82.178,22856.929640
1 Jan 2020 01:10:40.000,41.862,-81.770,22962.278698
1 Jan 2020 01:11:10.000,41.767,-81.372,23072.867663
1 Jan 2020 01:11:40.000,41.674,-80.986,23188.547529
1 Jan 2020 01:12:10.000,41.582,-80.611,23309.165106
1 Jan 2020 01:12:40.000,41.490,-80.247,23434.563768
1 Jan 2020 01:13:10.000,41.399,-79.895,23564.582860
1 Jan 2020 01:13:40.000,41.307,-79.556,23699.059749
1 Jan 2020 01:14:10.000,41.214,-79.229,23837.829224
1 Jan 2020 01:14:40.000,41.121,-78.914,23980.724179
1 Jan 2020 01:15:10.000,41.026,-78.612,24127.576028
1 Jan 2020 01:15:40.000,40.930,-78.322,24278.215095
1 Jan 2020 01:16:10.000,40.832,-78.045,24432.470983
1 Jan 2020 01:16:40.000,40.733,-77.781,24590.172922
1 Jan 2020 01:17:10.000,40.631,-77.530,24751.150420
1 Jan 2020 01:17:40.000,40.528,-77.292,24915.232289
1 Jan 2020 01:18:10.000,40.422,-77.067,25082.248833
1 Jan 2020 01:18:40.000,40.313,-76.854,25252.030846
1 Jan 2020 01:19:10.000,40.202,-76.654,25424.410170
1 Jan 2020 01:19:40.000,40.089,-76.467,25599.219912
1 Jan 2020 01:20:10.000,39.973,-76.292,25776.294646
1 Jan 2020 01:20:40.000,39.853,-76.129,25955.470591
1 Jan 2020 01:21:10.000,39.731,-75.979,26136.585778
1 Jan 2020 01:21:40.000,39.606,-75.842,26319.480193
1 Jan 2020 01:22:10.000,39.478,-75.716,26503.995906
1 Jan 2020 01:22:40.000,39.346,-75.602,26689.977186
1 Jan 2020 01:23:10.000,39.211,-75.499,26877.270595
1 Jan 2020 01:23:40.000,39.072,-75.409,27065.725082
1 Jan 2020 01:24:10.000,38.930,-75.329,27255.192048
1 Jan 2020 01:24:40.000,38.784,-75.261,27445.525408
1 Jan 2020 01:25:10.000,38.634,-75.204,27636.581647
1 Jan 2020 01:25:40.000,38.480,-75.157,27828.219853
1 Jan 2020 01:26:10.000,38.322,-75.121,28020.301752
1 Jan 2020 01:26:40.000,38.160,-75.096,28212.691732
1 Jan 2020 01:27:10.000,37.993,-75.081,28405.256856
1 Jan 2020 01:27:40.000,37.822,-75.075,28597.866873
1 Jan 2020 01:27:41.812,37.812,-75.075,28609.501468
1 Jan 2020 02:41:01.108,201.745,-75.068,28604.787926
1 Jan 2020 02:41:31.000,201.015,-75.071,28435.340188
1 Jan 2020 02:42:01.000,200.270,-75.083,28265.942557
1 Jan 2020 02:42:31.000,199.510,-75.102,28097.322313
1 Jan 2020 02:43:01.000,198.736,-75.129,27929.595132
1 Jan 2020 02:43:31.000,197.945,-75.163,27762.877897
1 Jan 2020 02:44:01.000,197.138,-75.206,27597.288630
1 Jan 2020 02:44:31.000,196.314,-75.256,27432.946429
1 Jan 2020 02:45:01.000,195.470,-75.315,27269.971386
1 Jan 2020 02:45:31.000,194.607,-75.380,27108.484506
1 Jan 2020 02:46:01.000,193.722,-75.454,26948.607615
1 Jan 2020 02:46:31.000,192.815,-75.536,26790.463261
1 Jan 2020 02:47:01.000,191.885,-75.625,26634.174606
1 Jan 2020 02:47:31.000,190.930,-75.721,26479.865311
1 Jan 2020 02:48:01.000,189.948,-75.825,26327.659407
1 Jan 2020 02:48:31.000,188.939,-75.937,26177.681164
1 Jan 2020 02:49:01.000,187.900,-76.055,26030.054946
1 Jan 2020 02:49:31.000,186.830,-76.181,25884.904768
1 Jan 2020 02:50:01.000,185.726,-76.313,25742.355300
