"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:01:08.521,34.584,-75.074,28600.326348
1 Jan 2020 00:01:38.000,33.646,-75.079,28404.484566
1 Jan 2020 00:02:08.000,32.683,-75.095,28205.401133
1 Jan 2020 00:02:38.000,31.709,-75.121,28006.752406
1 Jan 2020 00:03:08.000,30.722,-75.159,27808.756615
1 Jan 2020 00:03:38.000,29.721,-75.207,27611.636489
1 Jan 2020 00:04:08.000,28.703,-75.267,27415.619137
1 Jan 2020 00:04:38.000,27.667,-75.339,27220.935912
1 Jan 2020 00:05:08.000,26.610,-75.422,27027.822238
1 Jan 2020 00:05:38.000,25.530,-75.516,26836.517410
1 Jan 2020 00:06:08.000,24.423,-75.621,26647.264375
1 Jan 2020 00:06:38.000,23.289,-75.739,26460.309461
1 Jan 2020 00:07:08.000,22.122,-75.867,26275.902090
1 Jan 2020 00:07:38.000,20.921,-76.007,26094.294441
1 Jan 2020 00:08:08.000,19.682,-76.157,25915.741078
1 Jan 2020 00:08:38.000,18.401,-76.319,25740.498539
1 Jan 2020 00:09:08.000,17.074,-76.490,25568.824615
1 Jan 2020 00:09:38.000,15.698,-76.672,25400.978913
1 Jan 2020 00:10:08.000,14.268,-76.863,25237.220711
1 Jan 2020 00:10:38.000,12.778,-77.063,25077.809442
1 Jan 2020 00:11:08.000,11.224,-77.271,24923.003791
1 Jan 2020 00:11:38.000,9.600,-77.487,24773.061014
1 Jan 2020 00:12:08.000,7.901,-77.709,24628.236215
1 Jan 2020 00:12:38.000,6.120,-77.937,24488.781363
1 Jan 2020 00:13:08.000,4.251,-78.170,24354.945381
1 Jan 2020 00:13:38.000,2.288,-78.405,24226.971952
1 Jan 2020 00:14:08.000,0.223,-78.643,24105.099559
1 Jan 2020 00:14:38.000,358.049,-78.881,23989.560360
1 Jan 2020 00:15:08.000,355.760,-79.117,23880.579122
1 Jan 2020 00:15:38.000,353.350,-79.350,23778.372899
1 Jan 2020 00:16:08.000,350.812,-79.578,23683.149161
1 Jan 2020 00:16:38.000,348.142,-79.799,23595.105495
1 Jan 2020 00:17:08.000,345.337,-80.010,23514.428519
1 Jan 2020 00:17:38.000,342.395,-80.210,23441.292872
1 Jan 2020 00:18:08.000,339.316,-80.395,23375.860783
1 Jan 2020 00:18:38.000,336.104,-80.563,23318.280558
1 Jan 2020 00:19:08.000,332.766,-80.713,23268.686260
1 Jan 2020 00:19:38.000,329.312,-80.842,23227.196836
1 Jan 2020 00:20:08.000,325.757,-80.947,23193.915627
1 Jan 2020 00:20:38.000,322.118,-81.028,23168.929519
1 Jan 2020 00:21:08.000,318.417,-81.082,23152.308650
1 Jan 2020 00:21:38.000,314.679,-81.109,23144.105975
1 Jan 2020 00:22:08.000,310.928,-81.108,23144.356919
1 Jan 2020 00:22:38.000,307.192,-81.079,23153.079227
1 Jan 2020 00:23:08.000,303.497,-81.023,23170.272855
1 Jan 2020 00:23:38.000,299.867,-80.940,23195.920055
1 Jan 2020 00:24:08.000,296.324,-80.832,23229.985217
1 Jan 2020 00:24:38.000,292.886,-80.700,23272.415487
1 Jan 2020 00:25:08.000,289.567,-80.547,23323.140839
1 Jan 2020 00:25:38.000,286.380,-80.375,23382.074676
1 Jan 2020 00:26:08.000,283.332,-80.186,23449.113858
1 Jan 2020 00:26:38.000,280.425,-79.982,23524.139993
1 Jan 2020 00:27:08.000,277.661,-79.766,23607.019647
1 Jan 2020 00:27:38.000,275.040,-79.540,23697.605348
1 Jan 2020 00:28:08.000,272.557,-79.307,23795.735724
1 Jan 2020 00:28:38.000,270.208,-79.068,23901.237288
1 Jan 2020 00:29:08.000,267.987,-78.826,24013.924679
1 Jan 2020 00:29:38.000,265.889,-78.583,24133.601712
1 Jan 2020 00:30:08.000,263.906,-78.340,24260.062532
1 Jan 2020 00:30:38.000,262.032,-78.098,24393.091568
1 Jan 2020 00:31:08.000,260.260,-77.861,24532.465876
1 Jan 2020 00:31:38.000,258.584,-77.627,24677.955114
1 Jan 2020 00:32:08.000,256.996,-77.400,24829.322661
1 Jan 2020 00:32:38.000,255.491,-77.180,24986.326494
1 Jan 2020 00:33:08.000,254.064,-76.968,25148.720323
1 Jan 2020 00:33:38.000,252.708,-76.765,25316.253229
1 Jan 2020 00:34:08.000,251.420,-76.571,25488.672190
1 Jan 2020 00:34:38.000,250.193,-76.387,25665.721657
1 Jan 2020 00:35:08.000,249.024,-76.214,25847.144540
1 Jan 2020 00:35:38.000,247.908,-76.052,26032.682855
1 Jan 2020 00:36:08.000,246.842,-75.902,26222.078335
1 Jan 2020 00:36:38.000,245.822,-75.764,26415.072993
1 Jan 2020 00:37:08.000,244.845,-75.638,26611.409955
1 Jan 2020 00:37:38.000,243.909,-75.524,26810.832690
1 Jan 2020 00:38:08.000,243.009,-75.423,27013.087306
1 Jan 2020 00:38:38.000,242.144,-75.334,27217.921709
1 Jan 2020 00:39:08.000,241.311,-75.258,27425.086264
1 Jan 2020 00:39:38.000,240.508,-75.195,27634.334111
1 Jan 2020 00:40:08.000,239.733,-75.145,27845.421447
1 Jan 2020 00:40:38.000,238.984,-75.107,28058.107775
1 Jan 2020 00:41:08.000,238.259,-75.082,28272.156121
1 Jan 2020 00:41:38.000,237.557,-75.069,28487.333219
1 Jan 2020 00:41:53.941,237.192,-75.067,28602.054790
1 Jan 2020 01:41:54.398,54.082,-75.077,28606.916932
1 Jan 2020 01:42:24.000,54.108,-75.084,28376.776355
1 Jan 2020 01:42:54.000,54.145,-75.105,28143.765679
1 Jan 2020 01:43:24.000,54.194,-75.142,27911.211322
1 Jan 2020 01:43:54.000,54.253,-75.194,27679.351345
1 Jan 2020 01:44:24.000,54.325,-75.262,27448.429213
1 Jan 2020 01:44:54.000,54.409,-75.345,27218.693723
1 Jan 2020 01:45:24.000,54.505,-75.445,26990.398914
1 Jan 2020 01:45:54.000,54.615,-75.562,26763.803939
1 Jan 2020 01:46:24.000,54.739,-75.695,26539.172914
1 Jan 2020 01:46:54.000,54.879,-75.846,26316.774725
1 Jan 2020 01:47:24.000,55.034,-76.013,26096.882799
1 Jan 2020 01:47:54.000,55.207,-76.199,25879.774832
1 Jan 2020 01:48:24.000,55.397,-76.402,25665.732476
1 Jan 2020 01:48:54.000,55.608,-76.623,25455.040971
1 Jan 2020 01:49:24.000,55.840,-76.861,25247.988387
1 Jan 2020 01:49:54.000,56.095,-77.118,25044.866515
1 Jan 2020 01:50:24.000,56.376,-77.393,24845.968284
1 Jan 2020 01:50:54.000,56.686,-77.687,24651.588544
1 Jan 2020 01:51:24.000,57.026,-77.998,24462.023064
1 Jan 2020 01:51:54.000,57.401,-78.327,24277.567816
1 Jan 2020 01:52:24.000,57.816,-78.673,24098.517907
1 Jan 2020 01:52:54.000,58.274,-79.037,23925.167877
1 Jan 2020 01:53:24.000,58.782,-79.418,23757.809054
1 Jan 2020 01:53:54.000,59.347,-79.816,23596.729745
1 Jan 2020 01:54:24.000,59.979,-80.230,23442.213912
1 Jan 2020 01:54:54.000,60.686,-80.659,23294.539832
1 Jan 2020 01:55:24.000,61.484,-81.103,23153.979990
1 Jan 2020 01:55:54.000,62.389,-81.561,23020.798353
1 Jan 2020 01:56:24.000,63.421,-82.032,22895.250208
1 Jan 2020 01:56:54.000,64.607,-82.514,22777.580488
1 Jan 2020 01:57:24.000,65.984,-83.006,22668.023298
1 Jan 2020 01:57:54.000,67.596,-83.507,22566.799518
1 Jan 2020 01:58:24.000,69.507,-84.013,22474.116374
1 Jan 2020 01:58:54.000,71.801,-84.522,22390.165907
1 Jan 2020 01:59:24.000,74.596,-85.031,22315.124442
1 Jan 2020 01:59:54.000,78.058,-85.534,22249.150573
1 Jan 2020 02:00:24.000,82.421,-86.025,22192.384809
1 Jan 2020 02:00:54.000,88.017,-86.493,22144.948407
1 Jan 2020 02:01:24.000,95.291,-86.923,22106.942949
1 Jan 2020 02:01:54.000,104.768,-87.293,22078.449070
1 Jan 2020 02:02:24.000,116.836,-87.571,22059.526318
1 Jan 2020 02:02:54.000,131.234,-87.720,22050.212614
1 Jan 2020 02:03:24.000,146.568,-87.715,22050.524067
1 Jan 2020 02:03:54.000,160.840,-87.556,22060.454712
1 Jan 2020 02:04:24.000,172.735,-87.271,22079.976658
1 Jan 2020 02:04:54.000,182.059,-86.896,22109.040308
1 Jan 2020 02:05:24.000,189.223,-86.464,22147.574476
1 Jan 2020 02:05:54.000,194.749,-85.995,22195.487168
1 Jan 2020 02:06:24.000,199.077,-85.504,22252.666018
1 Jan 2020 02:06:54.000,202.530,-85.002,22318.979198
1 Jan 2020 02:07:24.000,205.335,-84.494,22394.275787
1 Jan 2020 02:07:54.000,207.656,-83.986,22478.387428
1 Jan 2020 02:08:24.000,209.607,-83.482,22571.128922
1 Jan 2020 02:08:54.000,211.272,-82.984,22672.299622
1 Jan 2020 02:09:24.000,212.710,-82.494,22781.683909
1 Jan 2020 02:09:54.000,213.969,-82.015,22899.053417
1 Jan 2020 02:10:24.000,215.081,-81.547,23024.167596
1 Jan 2020 02:10:54.000,216.075,-81.092,23156.775331
1 Jan 2020 02:11:24.000,216.970,-80.651,23296.615360
1 Jan 2020 02:11:54.000,217.784,-80.224,23443.418705
1 Jan 2020 02:12:24.000,218.528,-79.813,23596.909077
1 Jan 2020 02:12:54.000,219.215,-79.418,23756.804231
1 Jan 2020 02:13:24.000,219.852,-79.040,23922.817355
1 Jan 2020 02:13:54.000,220.448,-78.678,24094.657075
